FREQ,TIME_FORMAT,TIME_PERIOD,STK_FLOW,UNIT,PARTNER,GEO,OBS_STATUS,OBS_VALUE,FREQ_DESC,TIME_FORMAT_DESC,TIME_PERIOD_DESC,OBS_STATUS_DESC,STK_FLOW_DESC,UNIT_DESC,PARTNER_DESC,GEO_DESC
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,AT,,4567,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Austria
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,BE,,6495,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Belgium
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,CY,,29,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Cyprus
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,CZ,,2545,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Czechia
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,DE,,51479,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Germany
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,DK,,3775,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Denmark
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,EE,,97,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Estonia
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,EL,,226,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra-EU28 (current composition),Greece
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,ES,,2713,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Spain
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,EU28,,199215,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra-EU28 (current composition),European Union
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,FI,,6197,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Finland
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,FR,,35399,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,France
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,HR,,267,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Croatia
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,HU,,5311,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Hungary
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,IE,,9433,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Ireland
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,IT,,10657,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Italy
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,LT,,239,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Lithuania
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,LU,,455,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Luxembourg
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,LV,,133,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Latvia
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,MT,,708,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Malta
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,NL,,17545,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Netherlands
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,PL,,917,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Poland
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,PT,,1869,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Portugal
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,RO,,243,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Romania
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,SE,,9035,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Sweden
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,SI,,494,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Slovenia
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,SK,,334,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,Slovakia
A,P1Y,2007,EXP,MIO_EUR,EXT_EU28,UK,,27888,Annual,Annual,Year 2007,No data,Exports,Million euro,Extra EU-28,United Kingdom
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,AT,,8700,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Austria
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,BE,,14343,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Belgium
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,CY,,120,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Cyprus
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,CZ,,10083,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Czechia
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,DE,,73731,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Germany
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,DK,,5011,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Denmark
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,EE,,531,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Estonia
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,EL,,589,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU28 (current composition),Greece
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,ES,,5119,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Spain
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,FI,,5311,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Finland
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,FR,,32662,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,France
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,HR,,318,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Croatia
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,HU,,9546,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Hungary
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,IE,,13387,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Ireland
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,IT,,11233,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Italy
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,LT,,678,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Lithuania
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,LU,,5052,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Luxembourg
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,LV,,147,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Latvia
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,MT,,366,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Malta
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,NL,,55909,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Netherlands
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,PL,,2191,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Poland
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,PT,,746,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Portugal
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,SE,,7326,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Sweden
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,SI,,521,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Slovenia
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,SK,,1799,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,Slovakia
A,P1Y,2007,EXP,MIO_EUR,INT_EU28,UK,,26291,Annual,Annual,Year 2007,No data,Exports,Million euro,Intra-EU-28,United Kingdom
A,P1Y,2007,EXP,MIO_EUR,WORLD,AT,,13266,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Austria
A,P1Y,2007,EXP,MIO_EUR,WORLD,BE,,20839,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Belgium
A,P1Y,2007,EXP,MIO_EUR,WORLD,CY,,149,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Cyprus
A,P1Y,2007,EXP,MIO_EUR,WORLD,CZ,,12628,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Czechia
A,P1Y,2007,EXP,MIO_EUR,WORLD,DE,,125210,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Germany
A,P1Y,2007,EXP,MIO_EUR,WORLD,DK,,8786,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Denmark
A,P1Y,2007,EXP,MIO_EUR,WORLD,EE,,628,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Estonia
A,P1Y,2007,EXP,MIO_EUR,WORLD,EL,,815,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Greece
A,P1Y,2007,EXP,MIO_EUR,WORLD,ES,,7832,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Spain
A,P1Y,2007,EXP,MIO_EUR,WORLD,FI,,11508,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Finland
A,P1Y,2007,EXP,MIO_EUR,WORLD,FR,,68061,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,France
A,P1Y,2007,EXP,MIO_EUR,WORLD,HR,,585,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Croatia
A,P1Y,2007,EXP,MIO_EUR,WORLD,HU,,14857,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Hungary
A,P1Y,2007,EXP,MIO_EUR,WORLD,IE,,22820,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Ireland
A,P1Y,2007,EXP,MIO_EUR,WORLD,IT,,21890,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Italy
A,P1Y,2007,EXP,MIO_EUR,WORLD,LT,,918,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Lithuania
A,P1Y,2007,EXP,MIO_EUR,WORLD,LU,,5507,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Luxembourg
A,P1Y,2007,EXP,MIO_EUR,WORLD,LV,,280,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Latvia
A,P1Y,2007,EXP,MIO_EUR,WORLD,MT,,1074,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Malta
A,P1Y,2007,EXP,MIO_EUR,WORLD,NL,,73455,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Netherlands
A,P1Y,2007,EXP,MIO_EUR,WORLD,PL,,3108,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Poland
A,P1Y,2007,EXP,MIO_EUR,WORLD,PT,,2615,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Portugal
A,P1Y,2007,EXP,MIO_EUR,WORLD,RO,,1035,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Romania
A,P1Y,2007,EXP,MIO_EUR,WORLD,SE,,16360,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Sweden
A,P1Y,2007,EXP,MIO_EUR,WORLD,SI,,1015,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Slovenia
A,P1Y,2007,EXP,MIO_EUR,WORLD,SK,,2133,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,Slovakia
A,P1Y,2007,EXP,MIO_EUR,WORLD,UK,,54179,Annual,Annual,Year 2007,No data,Exports,Million euro,All countries of the world,United Kingdom
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,AT,,14.6,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Austria
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,BE,,8.7,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Belgium
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,CY,,10.2,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Cyprus
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,CZ,,20,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Czechia
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,DE,,15.3,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Germany
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,DK,,16.8,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Denmark
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,EE,,4.1,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Estonia
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,EL,,3.2,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra-EU28 (current composition),Greece
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,ES,,5,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Spain
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,EU28,,16.1,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,European Union
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,FI,,21.9,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Finland
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,FR,,25.2,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,France
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,HR,,7.5,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Croatia
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,HU,,39,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Hungary
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,IE,,29.1,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Ireland
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,IT,,7.6,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Italy
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,LT,,5.4,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Lithuania
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,LU,,22.3,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Luxembourg
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,LV,,8,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Latvia
A,P1Y,2007,EXP,PC_TOT,EXT_EU28,MT,,50.7,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Extra EU-28,Malta
